Longitude,Latidute,LengthPhaseRed,LengthPhaseGreen
10.0137901,53.5485193,300,300
10.0063504,53.5548102,300,300
10.0085774,53.5520225,300,300
10.019197,53.5770492,300,300
9.9995172,53.5852901,300,300
9.9936644,53.5777108,300,300
10.0142128,53.5780853,300,300
10.0059361,53.586055,300,300
10.0219118,53.5915824,300,300
9.9930624,53.5743893,300,300
10.027113,53.5689644,300,300
9.9883582,53.5840534,300,300
9.9939788,53.5728112,300,300
10.0001261,53.5709287,300,300
10.0086509,53.5526028,300,300
10.0229544,53.5676516,300,300
10.0141488,53.578277,300,300
10.0443001,53.5712436,300,300
10.0168846,53.5651399,300,300
10.0191989,53.5652121,300,300
9.9577576,53.5803593,300,300
10.0370178,53.5615588,300,300
10.0271544,53.5559618,300,300
10.0131355,53.5795876,300,300
9.9818143,53.5556194,300,300
10.0291432,53.5781749,300,300
9.9820682,53.5871806,300,300
9.983554,53.5911077,300,300
10.0156971,53.5626678,300,300
10.0151869,53.5626812,300,300
9.9631018,53.5468441,300,300
9.9546094,53.5613638,300,300
10.026847,53.5562548,300,300
10.0233868,53.5584585,300,300
10.0230058,53.5584973,300,300
10.0009885,53.5476462,300,300
10.0054291,53.5474861,300,300
9.9634093,53.5581487,300,300
9.9761412,53.5527997,300,300
9.9691294,53.5511402,300,300
9.9705845,53.5759251,300,300
9.9750857,53.5517238,300,300
10.0280592,53.569162,300,300
10.0433945,53.5818193,300,300
10.0059394,53.5478966,300,300
10.0059544,53.5482022,300,300
10.0053122,53.5480377,300,300
10.0059884,53.5477526,300,300
10.0061939,53.5480461,300,300
10.000967,53.5474919,300,300
10.015807,53.5627201,300,300
9.9820138,53.5895837,300,300
9.9833037,53.5905119,300,300
10.0105467,53.5568674,300,300
10.0191734,53.5524769,300,300
10.044001,53.5687973,300,300
10.0230463,53.5583604,300,300
10.0010841,53.555587,300,300
10.0051878,53.5528894,300,300
9.977042,53.5561519,300,300
10.0196133,53.5654739,300,300
10.0124378,53.5481403,300,300
9.9776878,53.5773113,300,300
9.9684071,53.5863609,300,300
9.9848728,53.5640037,300,300
10.0105402,53.55994,300,300
10.007708,53.5587596,300,300
9.9786574,53.5709691,300,300
9.9870174,53.59029,300,300
9.9714206,53.5754133,300,300
10.0285899,53.5521668,300,300
10.0288249,53.5521118,300,300
10.0132058,53.5514372,300,300
10.0128255,53.5515539,300,300
10.0254978,53.5528249,300,300
10.0087126,53.5555674,300,300
9.9833912,53.5863346,300,300
9.9772617,53.5772456,300,300
9.9916422,53.5894412,300,300
9.9856537,53.5881916,300,300
10.0171479,53.563958,300,300
10.0065398,53.5479173,300,300
9.9822528,53.559621,300,300
10.0408723,53.5802995,300,300
10.0406111,53.5797334,300,300
10.0410524,53.5799823,300,300
10.0404465,53.5800677,300,300
10.0403115,53.5803009,300,300
10.0409093,53.5799117,300,300
10.0405567,53.5801363,300,300
10.0404797,53.5798575,300,300
10.0200682,53.5655338,300,300
10.0006749,53.5472928,300,300
10.0057983,53.5500705,300,300
10.0245759,53.5655991,300,300
10.0030981,53.5572128,300,300
9.9577752,53.5805779,300,300
9.9771853,53.571599,300,300
9.9773814,53.5712734,300,300
9.9714723,53.5712105,300,300
9.9945868,53.5518831,300,300
