Longitude,Latitude
9.99175,53.55397
9.99121,53.55428
9.9911,53.55433
9.99106,53.55435
9.99094,53.55439
9.99085,53.55441
9.99085,53.55441
9.9908,53.55441
9.9908,53.55441
9.99078,53.55446
9.99077,53.55448
9.99077,53.55448
9.99071,53.55447
9.99065,53.55447
9.99053,53.55447
9.99053,53.55447
9.98969,53.55497
9.98962,53.555
9.98957,53.55503
9.98951,53.55505
9.98942,53.55509
9.98931,53.55513
9.98923,53.55516
9.98919,53.55517
9.98901,53.55522
9.98892,53.55525
9.98843,53.55539
9.98824,53.55544
9.98814,53.55547
9.98807,53.55549
9.98802,53.55551
9.98802,53.55551
9.98802,53.55551
9.98797,53.55553
9.98791,53.55556
9.98787,53.55559
9.98782,53.55563
9.98777,53.55568
9.98777,53.55568
9.98775,53.55572
9.98774,53.55576
9.98773,53.55579
9.98774,53.55584
9.98775,53.5559
9.98782,53.55609
9.98788,53.55625
9.98794,53.55638
9.98801,53.5565
9.98806,53.55659
9.98812,53.55666
9.98819,53.55675
9.98826,53.55684
9.98832,53.55691
9.98837,53.55696
9.98847,53.55706
9.98847,53.55706
9.9886,53.55713
9.98869,53.55718
9.98872,53.5572
9.98874,53.55722
9.98876,53.55724
9.98877,53.55726
9.98879,53.55729
9.98885,53.55743
9.98892,53.55756
9.98909,53.55793
9.98911,53.55798
9.98918,53.5581
9.98931,53.55831
9.9894,53.55844
9.9894,53.55844
9.98954,53.55854
9.98967,53.55874
9.98975,53.55893
9.98995,53.55926
9.98995,53.55926
9.99,53.55927
9.99003,53.55928
9.99006,53.5593
9.99011,53.55933
9.99015,53.55937
9.99017,53.5594
9.99017,53.55943
9.99017,53.55946
9.99016,53.55949
9.99016,53.55949
9.99023,53.5596
9.99026,53.55957
9.99026,53.55957
9.99026,53.55957
9.99023,53.5596
9.99016,53.55949
9.99016,53.55949
9.99013,53.55953
9.99013,53.55953
9.99039,53.55992
9.99063,53.56023
9.99066,53.56026
9.99076,53.56032
9.99081,53.56036
9.99087,53.5604
9.99095,53.56045
9.99107,53.56053
9.99119,53.56064
9.99129,53.56071
9.99149,53.56086
9.99168,53.56098
9.99197,53.56117
9.99204,53.56123
9.99211,53.56127
9.99219,53.56132
9.99231,53.56137
9.99241,53.56142
9.9925,53.56148
9.99255,53.56151
9.99298,53.56181
9.99358,53.56222
9.99371,53.56229
9.99406,53.56251
9.9941,53.56253
9.99418,53.56261
9.99436,53.56283
9.99445,53.56295
9.99449,53.56301
9.99453,53.56314
9.99457,53.5635
9.99458,53.56354
9.99459,53.5639
9.99461,53.56424
9.99463,53.56452
9.99465,53.56474
9.99468,53.56479
9.9947,53.56482
9.99477,53.56489
9.99477,53.56489
9.99455,53.56488
9.99455,53.56488
9.99458,53.56495
9.99461,53.56499
9.99474,53.56515
9.99488,53.56531
9.99505,53.56553
9.99515,53.56568
9.99521,53.56577
9.99585,53.56659
9.99587,53.56662
9.99591,53.56677
9.99593,53.56686
9.99593,53.56696
9.99592,53.56699
9.99575,53.56763
9.99563,53.56795
9.99555,53.56828
9.99553,53.56834
9.99549,53.5685
9.99548,53.56853
