Longitude,Latidute,LengthPhaseRed,LengthPhaseGreen
10.0137901,53.5485193,30,30
10.0063504,53.5548102,30,30
10.0085774,53.5520225,30,30
10.019197,53.5770492,30,30
9.9995172,53.5852901,30,30
9.9936644,53.5777108,30,30
10.0142128,53.5780853,30,30
10.0059361,53.586055,30,30
10.0219118,53.5915824,30,30
9.9930624,53.5743893,30,30
10.027113,53.5689644,30,30
9.9883582,53.5840534,30,30
9.9939788,53.5728112,30,30
10.0001261,53.5709287,30,30
10.0086509,53.5526028,30,30
10.0229544,53.5676516,30,30
10.0141488,53.578277,30,30
10.0443001,53.5712436,30,30
10.0168846,53.5651399,30,30
10.0191989,53.5652121,30,30
9.9577576,53.5803593,30,30
10.0370178,53.5615588,30,30
10.0271544,53.5559618,30,30
10.0131355,53.5795876,30,30
9.9818143,53.5556194,30,30
10.0291432,53.5781749,30,30
9.9820682,53.5871806,30,30
9.983554,53.5911077,30,30
10.0156971,53.5626678,30,30
10.0151869,53.5626812,30,30
9.9631018,53.5468441,30,30
9.9546094,53.5613638,30,30
10.026847,53.5562548,30,30
10.0233868,53.5584585,30,30
10.0230058,53.5584973,30,30
10.0009885,53.5476462,30,30
10.0054291,53.5474861,30,30
9.9634093,53.5581487,30,30
9.9761412,53.5527997,30,30
9.9691294,53.5511402,30,30
9.9705845,53.5759251,30,30
9.9750857,53.5517238,30,30
10.0280592,53.569162,30,30
10.0433945,53.5818193,30,30
10.0059394,53.5478966,30,30
10.0059544,53.5482022,30,30
10.0053122,53.5480377,30,30
10.0059884,53.5477526,30,30
10.0061939,53.5480461,30,30
10.000967,53.5474919,30,30
10.015807,53.5627201,30,30
9.9820138,53.5895837,30,30
9.9833037,53.5905119,30,30
10.0105467,53.5568674,30,30
10.0191734,53.5524769,30,30
10.044001,53.5687973,30,30
10.0230463,53.5583604,30,30
10.0010841,53.555587,30,30
10.0051878,53.5528894,30,30
9.977042,53.5561519,30,30
10.0196133,53.5654739,30,30
10.0124378,53.5481403,30,30
9.9776878,53.5773113,30,30
9.9684071,53.5863609,30,30
9.9848728,53.5640037,30,30
10.0105402,53.55994,30,30
10.007708,53.5587596,30,30
9.9786574,53.5709691,30,30
9.9870174,53.59029,30,30
9.9714206,53.5754133,30,30
10.0285899,53.5521668,30,30
10.0288249,53.5521118,30,30
10.0132058,53.5514372,30,30
10.0128255,53.5515539,30,30
10.0254978,53.5528249,30,30
10.0087126,53.5555674,30,30
9.9833912,53.5863346,30,30
9.9772617,53.5772456,30,30
9.9916422,53.5894412,30,30
9.9856537,53.5881916,30,30
10.0171479,53.563958,30,30
10.0065398,53.5479173,30,30
9.9822528,53.559621,30,30
10.0408723,53.5802995,30,30
10.0406111,53.5797334,30,30
10.0410524,53.5799823,30,30
10.0404465,53.5800677,30,30
10.0403115,53.5803009,30,30
10.0409093,53.5799117,30,30
10.0405567,53.5801363,30,30
10.0404797,53.5798575,30,30
10.0200682,53.5655338,30,30
10.0006749,53.5472928,30,30
10.0057983,53.5500705,30,30
10.0245759,53.5655991,30,30
10.0030981,53.5572128,30,30
9.9577752,53.5805779,30,30
9.9771853,53.571599,30,30
9.9773814,53.5712734,30,30
9.9714723,53.5712105,30,30
9.9945868,53.5518831,30,30
9.9715772,53.5709791,30,30
9.9711184,53.5712733,30,30
10.0168044,53.5505492,30,30
10.0261641,53.5568691,30,30
9.970818,53.5500704,30,30
9.9983231,53.5791931,30,30
9.9971105,53.5842822,30,30
10.0036002,53.5571629,30,30
10.0023575,53.5571402,30,30
10.0087752,53.5526129,30,30
9.9946261,53.551546,30,30
9.982201,53.5898336,30,30
10.0267205,53.5692196,30,30
9.9836223,53.5905987,30,30
10.0060852,53.5476982,30,30
10.0054951,53.5477319,30,30
9.9698611,53.5673628,30,30
9.988307,53.5726625,30,30
9.9886571,53.5728423,30,30
9.9886401,53.5724818,30,30
9.9936978,53.5472985,30,30
9.991907,53.5891053,30,30
10.0057153,53.5519301,30,30
10.0257353,53.5512809,30,30
10.016161,53.5520274,30,30
10.0158599,53.5520885,30,30
10.0188232,53.5525326,30,30
9.9758085,53.5790296,30,30
10.0154926,53.5889523,30,30
10.0158096,53.5890089,30,30
10.0157918,53.5887465,30,30
10.02722,53.5699802,30,30
10.0440652,53.5915972,30,30
10.0445182,53.5912492,30,30
9.9859877,53.581426,30,30
9.9863,53.5812647,30,30
9.9857914,53.5812478,30,30
9.986119,53.5810966,30,30
10.033152,53.5908607,30,30
10.0272561,53.5701823,30,30
10.0240601,53.5534466,30,30
10.0403939,53.5557097,30,30
10.0236176,53.5583684,30,30
10.0235808,53.558525,30,30
10.0447487,53.5675341,30,30
9.9954334,53.5687153,30,30
9.965971,53.5692228,30,30
9.9776396,53.5643051,30,30
9.9794541,53.5658108,30,30
9.9789717,53.5661135,30,30
9.9966109,53.5530972,30,30
9.9801681,53.5551198,30,30
9.9800849,53.5552372,30,30
9.9842531,53.5555157,30,30
9.9845187,53.5556677,30,30
9.9839468,53.5556611,30,30
9.9765884,53.5577156,30,30
9.9760116,53.5624975,30,30
10.0433543,53.5482457,30,30
10.0418914,53.5509474,30,30
10.0414435,53.5509224,30,30
10.0417517,53.5507806,30,30
10.0415817,53.5511143,30,30
9.9639299,53.5579973,30,30
9.9638855,53.5582961,30,30
